best m,c is 1.700000,11.280000 with error 16.683888 in direction 0
best m,c is 1.700000,11.290000 with error 16.679936 in direction 0
best m,c is 1.700000,11.300000 with error 16.675989 in direction 0
best m,c is 1.700000,11.310000 with error 16.672047 in direction 0
best m,c is 1.700000,11.320000 with error 16.668110 in direction 0
best m,c is 1.700000,11.330000 with error 16.664178 in direction 0
best m,c is 1.700000,11.340000 with error 16.660251 in direction 0
best m,c is 1.700000,11.350000 with error 16.656329 in direction 0
best m,c is 1.700000,11.360000 with error 16.652412 in direction 0
best m,c is 1.700000,11.370000 with error 16.648501 in direction 0
best m,c is 1.700000,11.380000 with error 16.644594 in direction 0
best m,c is 1.700000,11.390000 with error 16.640693 in direction 0
best m,c is 1.700000,11.400000 with error 16.636796 in direction 0
best m,c is 1.700000,11.410000 with error 16.632905 in direction 0
best m,c is 1.700000,11.420000 with error 16.629019 in direction 0
best m,c is 1.700000,11.430000 with error 16.625138 in direction 0
best m,c is 1.700000,11.440000 with error 16.621262 in direction 0
best m,c is 1.700000,11.450000 with error 16.617391 in direction 0
best m,c is 1.700000,11.460000 with error 16.613525 in direction 0
best m,c is 1.700000,11.470000 with error 16.609665 in direction 0
best m,c is 1.700000,11.480000 with error 16.605809 in direction 0
best m,c is 1.700000,11.490000 with error 16.601959 in direction 0
best m,c is 1.700000,11.500000 with error 16.598114 in direction 0
best m,c is 1.700000,11.510000 with error 16.594274 in direction 0
best m,c is 1.700000,11.520000 with error 16.590439 in direction 0
best m,c is 1.700000,11.530000 with error 16.586609 in direction 0
best m,c is 1.700000,11.540000 with error 16.582784 in direction 0
best m,c is 1.700000,11.550000 with error 16.578965 in direction 0
best m,c is 1.700000,11.560000 with error 16.575151 in direction 0
best m,c is 1.700000,11.570000 with error 16.571341 in direction 0
best m,c is 1.700000,11.580000 with error 16.567537 in direction 0
best m,c is 1.700000,11.590000 with error 16.563739 in direction 0
best m,c is 1.700000,11.600000 with error 16.559945 in direction 0
best m,c is 1.690000,11.610000 with error 16.555963 in direction 7
best m,c is 1.690000,11.620000 with error 16.551878 in direction 0
best m,c is 1.690000,11.630000 with error 16.547799 in direction 0
best m,c is 1.690000,11.640000 with error 16.543725 in direction 0
best m,c is 1.690000,11.650000 with error 16.539656 in direction 0
best m,c is 1.690000,11.660000 with error 16.535591 in direction 0
best m,c is 1.690000,11.670000 with error 16.531532 in direction 0
best m,c is 1.690000,11.680000 with error 16.527478 in direction 0
best m,c is 1.690000,11.690000 with error 16.523429 in direction 0
best m,c is 1.690000,11.700000 with error 16.519385 in direction 0
best m,c is 1.690000,11.710000 with error 16.515346 in direction 0
best m,c is 1.690000,11.720000 with error 16.511312 in direction 0
best m,c is 1.690000,11.730000 with error 16.507284 in direction 0
best m,c is 1.690000,11.740000 with error 16.503260 in direction 0
best m,c is 1.690000,11.750000 with error 16.499241 in direction 0
best m,c is 1.690000,11.760000 with error 16.495228 in direction 0
best m,c is 1.690000,11.770000 with error 16.491219 in direction 0
best m,c is 1.690000,11.780000 with error 16.487216 in direction 0
best m,c is 1.690000,11.790000 with error 16.483218 in direction 0
best m,c is 1.690000,11.800000 with error 16.479225 in direction 0
best m,c is 1.690000,11.810000 with error 16.475237 in direction 0
best m,c is 1.690000,11.820000 with error 16.471254 in direction 0
best m,c is 1.690000,11.830000 with error 16.467276 in direction 0
